checked_at,AA1239,AA1479,AA1509,AA2578,AA2607,AA3022,AA3048,AA3067,AA3324,AA802,B6111,B6112,DL2570,DL2828,UA1117,UA1186,UA1349,UA1414,UA1606,UA1706,UA2631,UA503,UA717
2026-08-19 03:53:30,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:03:43,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:13:36,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:23:41,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:33:44,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:43:27,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 04:53:40,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:03:34,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:13:35,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:23:26,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:33:39,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:43:26,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 05:53:35,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
