checked_at,AA1250,AA1464,AA1875,AA2452,AA2689,AA2984,AA3076,AA581,UA1358,UA1620
2026-08-19 09:14:35,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 09:24:41,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 09:34:42,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 09:44:39,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 09:54:39,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:04:46,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:14:38,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:24:31,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:34:37,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:44:39,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 10:54:33,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:04:43,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:14:38,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:24:52,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:34:36,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:44:33,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 11:54:51,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:04:42,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:14:39,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:24:55,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:35:03,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:44:51,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 12:54:32,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:04:45,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:14:50,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:24:45,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:34:52,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:44:51,86.00,86.00,86.00,86.00,168.00,86.00,86.00,86.00,86.00,86.00
2026-08-19 13:54:47,86.00,86.00,86.00,86.00,168.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:04:58,86.00,86.00,86.00,86.00,168.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:14:48,86.00,86.00,86.00,86.00,168.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:24:53,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:34:46,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:44:49,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 14:54:40,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:04:58,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:14:50,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:24:45,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:35:20,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:45:03,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 15:54:53,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 16:04:59,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
2026-08-19 16:14:49,86.00,86.00,86.00,86.00,247.00,247.00,86.00,86.00,86.00,86.00
