checked_at,AA54,AA86,AA98,BA1518,BA1543,BA1601,BA294,BA296,BA298,IB3633,IB3635,IB4208,IB4860,IB8552,UA920,UA929,UA938
2026-08-27 13:09:15,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 13:19:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 13:29:06,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 13:39:16,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 13:49:02,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 13:59:05,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 14:09:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 14:19:12,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,788.00,788.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 14:29:10,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 14:39:09,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,711.00,710.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 14:49:22,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 14:59:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 15:09:15,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 15:19:18,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,724.00,723.00,712.00,712.00,712.00
2026-08-27 15:29:19,712.00,712.00,712.00,730.00,730.00,730.00,712.00,712.00,712.00,711.00,710.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 15:39:11,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 15:49:12,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 15:59:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 16:09:15,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 16:19:10,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 16:29:15,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 16:39:18,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,788.00,788.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 16:49:16,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 16:59:06,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 17:09:10,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 17:19:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 17:29:11,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 17:39:22,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 17:49:13,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,721.00,721.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 17:59:13,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 18:09:10,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,721.00,721.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 18:19:19,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 18:29:29,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 18:39:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 18:49:07,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 18:59:07,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
