checked_at,watch_id,origin,destination,departure_date,flight_number,price,ok,error
2026-08-03T23:50:14.512324+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T23:50:17.977287+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T23:50:21.236848+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T23:50:24.468892+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T23:55:12.308208+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T23:55:15.913609+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T23:55:19.381391+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T23:55:22.730793+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:00:21.509294+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:00:26.173439+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:00:29.517385+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:00:32.871169+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:05:11.372529+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:05:14.734401+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:05:17.962701+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:05:21.141288+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:06:03.610548+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:06:07.110273+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:06:10.571064+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:06:13.817369+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:10:15.121884+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:10:18.490598+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:10:21.774355+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:10:25.047212+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:15:12.879996+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:15:16.358043+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:15:19.695678+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:15:23.084141+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:20:18.162358+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:20:21.364173+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:20:24.631547+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:20:27.861406+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:25:13.984856+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:25:17.502213+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:25:20.826953+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:25:24.205894+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:30:21.785922+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:30:25.063429+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:30:28.342641+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:30:31.660690+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:35:10.446388+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:35:13.657638+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:35:16.972371+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:35:20.173605+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:40:13.582693+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:40:16.996796+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:40:20.383745+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:40:23.586848+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:45:12.082060+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:45:15.443366+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:45:18.772111+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:45:22.061431+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:50:13.988033+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:50:17.510757+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:50:20.887509+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:50:24.147074+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T00:55:13.007233+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T00:55:16.471257+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T00:55:19.770722+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T00:55:23.044415+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:00:15.566839+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:00:18.927633+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:00:22.480060+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:00:25.761697+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:05:15.984319+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:05:19.377861+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:05:22.994721+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:05:26.423826+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:10:13.570474+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:10:16.959644+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:10:20.175770+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:10:23.355334+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:15:15.169726+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:15:18.384967+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:15:21.571271+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:15:24.863355+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:20:14.801249+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:20:18.298284+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
